education,height,car,house,weight,constellation,nationality,zodiac,blood,criterias_age,criterias_height,criterias_nationality,criterias_education,criterias_marriage,criterias_location,nickname,marriage,work_location,shortnote
硕士,160,已经购车,已购住房,57,射手座,汉族,鸡,O,"41,49","170,178",不限,硕士,离异,北京,朗玥,离异,大兴,关于我：工程师，专业顾问，咨询公司技术副总监，热爱工作热爱生活，与四岁女儿一起把简单生活过得有滋有味。希望你：工作稳定，心态平和，为人宽厚，善于沟通。......
本科,160,暂未购车,暂未购房,55,射手座,汉族,猴,B,"27,39","170,190",不限,不限,不限,北京,爱生活爱旅行,未婚,通州,爱一个人意味着什么呢？这意味着为他的幸福而高兴，为使他能够幸福而去做需要做的一切，并从这当中得到快乐。一般的宿命，就是我们总会遇见一些人遭遇一些事。然后，看着命中注定的事发生，却无…
大专,160,已购车（经济型）,暂未购房,47,双子座,汉族,牛,A,"33,41","168,183",不限,不限,离异丧偶,广东深圳,逸卿,离异,深圳,"提示：
 近期系统给我乱发了很多重复系统信件！打扰了很多人，在此表示深深的歉意！
 为了区别系统信件由我本人发出的信件只针对适龄的同城离异男士，内容只有简短的“你好”二字，其他内容…"
 为了区别系统信件由我本人发出的信件只针对适龄的同城离异男士，内容只有简短的“你好”二字，其他内容…"
本科,155,暂未购车,与父母同住,47,水瓶座,汉族,龙,B,"38,45","165,181",不限,大专,不限,上海,BLUE JY,未婚,闵行,没有看信邮票了，所以你的信，我不一定neng看到，我喜欢游泳 旅游 读书 电影 。平时无聊的时候，我经常运动 上网。我憧憬的生活是和相爱的人 平平淡淡的生活。这个世界上，总有一个人…
本科,165,--,--,50,天蝎座,汉族,鼠,--,"24,30","172,185",不限,本科或以上,未婚,不限,bluefish,未婚,美国,如果爱你是错的话，我不想对；如果对是等于没有你的话，我宁愿错一辈子...
本科,160,暂未购车,已购住房,60,天秤座,汉族,羊,A,"37,44","160,178",不限,大专,不限,广西,衣佳衣,未婚,柳州,我 对 未来美好的生活越来越有信心，可是我要结婚的人儿你在哪呢？我想有个人与我同行，伴走今生。很想找个人结婚！希望今年可以完成目标。没有诚意的就不要来信了。......
硕士,177,已购车（经济型）,已购房,--,金牛座,汉族,虎,O,"32,45","130,260",不限,不限,不限,香港香港,Newgirl,未婚,香港,"I want to wish you a good mood! I will immediately inform you about the purpose of been here, i&#039;m simple and easygoing person down to earth honest loving caring understanding God fearing woman. I..."
本科,160,已经购车,已购住房,54,天秤座,汉族,狗,B,"45,52","170,180",不限,大专或以上,离异丧偶,广东,梦旖旎,离异,佛山,听见　冬天的离开　    我在某年某月　醒过来     我想　我等　我期待　    未来却不能因此安排     阴天　傍晚　车窗外　    未来有一个人在等待     向左　向右　…
大专,165,暂未购车,已购房,55,射手座,汉族,猴,O,"48,60","170,190",不限,本科,不限,北京,思菡,离异,朝阳,能把自己说清楚的人我想也是不多吧？两个人在一起外在的条件不是不重要，但比这更重要的是心灵的相通！我懂你，生活会轻松很多！...
本科,163,暂未购车,与父母同住,48,双子座,汉族,猴,B,"38,47","170,190",不限,不限,未婚离异,北京,misskyg,未婚,东城,"千里万里，二月三月，我在这里望极蓝桥,几重山,几重水,都要找到你。 感情的世界里,希望我们都能做到\\&quot;不隔\\&quot;,一起赌书泼茶,可好..."
本科,165,暂未购车,与人合租,55,天秤座,汉族,羊,O,"36,43","170,200",不限,本科,未婚,上海,Alina佳,未婚,长宁,"找一个谈得来的，脾气好的，真心想结婚的人。  靠谱的来。
 （最近很多外地的发信来，外地不考虑，不相信异地，外地的不要发信了，谢谢！）..."
大专,160,暂未购车,暂未购房,45,狮子座,--,龙,--,"40,50","170,",不限,不限,不限,广东广州,紫昕,离异,广州,"有缘于此相遇，希望在此找到一生相知相爱相伴的人。
一起漫步人生路,一起营造我们温馨的玫瑰花园。
喜欢家居生活,期待你的到来与你共渡一生...

这个系统经常自发信息，请见谅。......"
本科,163,暂未购车,已购房,50,狮子座,汉族,羊,其它,"37,47","174,188",不限,不限,不限,上海,纷花雪月,未婚,闵行,上海姑娘，外企人事管理层，勤奋努力，有上进心。一直奋斗于事业。想找一个港湾。回归于家庭。希望你是一个自信、有气质和上进心的男士，望能和你携手努力创造我们美好的未来，真诚期待您的出现…
本科,155,暂未购车,已购住房,45,摩羯座,汉族,蛇,--,"36,42","165,175",不限,本科或以上,未婚,云南昆明,bluesky1,未婚,昆明,静静等待属于我的缘份！不浮不燥，不争不抢，不强求！得之我幸，失之我命！在我生命中的另一半没出现的时候我会照顾好自己，提高自己！...
本科,166,暂未购车,与父母同住,55,天秤座,汉族,鼠,其它,"40,60","165,226",不限,本科,未婚离异,上海北京浙江江苏,蓝天,离异,徐汇,"愿有人与你立黄昏，问你粥可温。 
愿有人与你捻熄灯，共你书半生。 
愿有人告你夜已深，与你把酒分。
说明一下我是单身的。希望找一个合适的人告别单身。本人没有负担没有过去的阴影，身心…"
