education,height,car,house,weight,constellation,nationality,zodiac,blood,criterias_age,criterias_height,criterias_nationality,criterias_education,criterias_marriage,criterias_location,nickname,marriage,work_location,shortnote
本科,175,已购车（中档型）,已购房,74,摩羯座,汉族,虎,A,"不限,","不限,",不限,不限,不限,不限,山水几程,丧偶,厦门,第一次上佳缘，以结婚为目的，q 看数 字_㋇㏠㍘_㋆㏡㍟_㋄㏤ 家 我互相了解下吧...
硕士,185,--,--,--,摩羯座,汉族,兔,B,"23,39","130,260",不限,不限,不限,上海,Ryan,未婚,黄浦,爱一个人意味着什么呢？这意味着为他的幸福而高兴，为使他能够幸福而去做需要做的一切，并从这当中得到快乐。一般的宿命，就是我们总会遇见一些人遭遇一些事。然后，看着命中注定的事发生，却无…
本科,174,已经购车,已购房,78,摩羯座,汉族,兔,--,"30,40","158,171",不限,大专,不限,广东汕头,许诺,离异,汕头,从颜值开始。哈。哈。我是一名医生，住市区金平区，老家鮀浦，老了我大几率会选择回归牛田洋的田园生活，有意者同行哈。离异是因为我在国外多年，聚少离多，感情不知不觉淡化了，和平分手，孩子…
硕士,170,已经购车,已购住房,72,射手座,汉族,马,A,"18,32","158,175",不限,不限,不限,不限,linked2008,未婚,朝阳,It would be my pleasure if you can spend some time going through my self-introduction: I am working in a foreign company in Beijing ......
本科,178,--,--,--,巨蟹座,--,牛,--,"42,50","155,179",不限,不限,不限,不限,浮生如梦,离异,闵行,"我是一个幽默,宅的人 ，爱好广泛的我，喜欢旅行。"
硕士,169,暂未购车,已购房,64,狮子座,汉族,蛇,B,"35,43","150,165",不限,大专,不限,上海,古风,离异,浦东新区,希望能够认识一个人一起携手到老。如果你也是这么想，那么我们可以试着了解彼此。...
硕士,175,暂未购车,已购住房,70,白羊座,汉族,羊,A,"不限,","不限,",不限,不限,不限,不限,notdreamer,未婚,浦东新区,"Hope to make friend with you, to make each of us more knowledgable, enjoyable and successful."
本科,175,暂未购车,独自租房,75,白羊座,汉族,猪,O,"45,53","162,175",不限,本科或以上,不限,广东广州,涌飞,离异,广州,缘分快到了来逛逛有一起环游祖国的大好河山吗？...
博士,180,暂未购车,已购住房,65,巨蟹座,汉族,鼠,--,"29,49","158,",不限,不限,不限,广东深圳上海,lyjun2401,未婚,浦东新区,"我非土生土长的上海人，只是户口落在上海而已。 希望平淡生活,希望普通的人生。 身高170，非180，网络错误，个人无法更改。..."
硕士,183,暂未购车,已购住房,73,狮子座,汉族,鼠,--,"不限,","不限,",不限,不限,不限,不限,微微一笑挺倾城,未婚,静安,英名校(Edinburgh)MBA，英语近乎母语，外商独资企业高层管理，英俊但个性强，市中心核心地段高尚区域置独宅，浪漫亦或传统（难以自控），能驾车，驶过遗梦廊桥，多血质的MBA却…
硕士,170,暂未购车,暂未购房,--,射手座,汉族,龙,O,"28,38","不限,",不限,不限,不限,上海,linkaixin,离异,徐汇,事业、爱情    一同拥有！！    一同“追逐风，追逐太阳，追逐我们的理想”...
博士,170,已经购车,已购住房,74,处女座,壮族,蛇,O,"18,32","163,170",不限,不限,不限,广东深圳,aria,未婚,深圳,为了追求人生完整，背景有点复杂，工学学士，文学硕士，艺术学博士。爱好读万卷书行万里路，走过将近100个国家。北欧留学工作多年，近年来对AI技术发生兴趣回国，现为一家机器人公司创始人…
硕士,175,已经购车,已购住房,60,天秤座,汉族,龙,B,"32,38","162,168",不限,本科或以上,未婚,上海,Hendry,未婚,浦东新区,毕业后来上海工作多年了，仍然还是形影单调。也许是工作、生活的圈子太小了吧，至今还没有找到生活中的另一半，偏偏我还是一个理想主义者，不…...
本科,179,已经购车,已购住房,70,巨蟹座,汉族,牛,A,"45,","155,175",不限,不限,未婚离异,国外福建广东,表哥,未婚,福州,岁月在流逝，只想找个和我相携一生的伴侣，那是最美的风景：一杯浓浓的咖啡，露台上的两把藤椅上两个慢慢老去的爱人，迟暮但安详。       现在电信诈骗太多，发现通信和回信往来比以前少…
