antecedent,consequent,confidence
"['非诚', '喜欢']",['勿扰'],0.9773462783171522
['非诚'],['勿扰'],0.9767190037899296
"['非诚', '真诚']",['勿扰'],0.9705882352941176
"['非诚', '希望']",['勿扰'],0.9689119170984456
['不离'],['不弃'],0.9677002583979328
['与子偕老'],['执子之手'],0.9436201780415431
['不弃'],['不离'],0.9100850546780073
['能量'],['正'],0.8970588235294118
['体重'],['身高'],0.8903345724907064
['往后'],['余生'],0.882051282051282
"['看书', '希望']",['喜欢'],0.8452380952380952
"['音乐', '希望']",['喜欢'],0.8160919540229885
"['音乐', '旅游']",['喜欢'],0.815
['执子之手'],['与子偕老'],0.8050632911392405
['看书'],['喜欢'],0.8020477815699659
"['旅游', '性格']",['喜欢'],0.7739130434782608
"['运动', '旅游']",['喜欢'],0.7679558011049724
['唱歌'],['喜欢'],0.7671711292200233
"['旅游', '希望']",['喜欢'],0.7662061636556854
['音乐'],['喜欢'],0.7647058823529411
['爬山'],['喜欢'],0.7590361445783133
"['旅游', '善良']",['喜欢'],0.7525773195876289
['共度'],['余生'],0.7465508431272355
"['旅游', '工作']",['喜欢'],0.7452631578947368
['游泳'],['喜欢'],0.7432098765432099
"['旅游', '生活']",['喜欢'],0.7416918429003021
['有车'],['有房'],0.741304347826087
['消息'],['会员'],0.7381974248927039
"['共度', '希望']",['余生'],0.7329910141206675
['旅游'],['喜欢'],0.7324304538799414
['美食'],['喜欢'],0.7271487039563438
['电影'],['喜欢'],0.7200520833333334
['温和'],['性格'],0.7168021680216802
"['运动', '生活']",['喜欢'],0.7098214285714286
['运动'],['喜欢'],0.7054220234768027
"['运动', '希望']",['喜欢'],0.7024922118380063
['正直'],['善良'],0.6972111553784861
"['另一半', '生活']",['希望'],0.6939820742637645
"['平时', '希望']",['喜欢'],0.6908127208480566
['平时'],['喜欢'],0.689327485380117
"['抽烟', '希望']",['喝酒'],0.6875
"['另一半', '喜欢']",['希望'],0.6857949200376293
['抽烟'],['喝酒'],0.6843393148450244
"['喝酒', '希望']",['抽烟'],0.684331797235023
"['抽烟', '喜欢']",['喝酒'],0.6771929824561403
['失败'],['婚姻'],0.6762225969645869
"['性格', '另一半']",['希望'],0.6704545454545454
['专一'],['感情'],0.6676860346585117
"['未来', '喜欢']",['希望'],0.6673114119922631
"['稳定', '希望']",['工作'],0.6649122807017543
"['喝酒', '喜欢']",['抽烟'],0.6643717728055077
['健身'],['喜欢'],0.6641901931649331
"['另一半', '工作']",['希望'],0.6641221374045801
['喝酒'],['抽烟'],0.6621941594317285
"['成熟', '喜欢']",['稳重'],0.6570796460176991
['回复'],['会员'],0.6536144578313253
"['稳重', '喜欢']",['成熟'],0.649890590809628
