age_flooring,age_ceiling,height_flooring,height_ceiling,criterias_education,criterias_marriage,prediction
41,49,170,178,4,1,16
27,39,170,190,0,0,22
33,41,168,183,0,0,22
38,45,165,181,1,0,18
24,30,172,185,2,3,5
37,44,160,178,1,0,18
32,45,130,260,0,0,2
45,52,170,180,1,0,18
48,60,170,190,2,0,1
38,47,170,190,0,1,25
36,43,170,200,2,3,27
40,50,170,260,0,0,12
37,47,174,188,0,0,22
36,42,165,175,2,3,27
40,60,165,226,2,1,1
40,46,168,180,1,0,18
31,43,130,260,0,0,2
40,50,170,190,1,0,18
54,69,170,200,2,0,15
70,75,171,176,1,0,14
40,55,170,185,1,0,18
45,52,171,179,2,3,27
56,66,168,182,0,0,3
35,48,130,260,0,0,2
30,38,170,185,2,3,27
38,50,170,190,1,0,18
24,30,170,185,1,3,20
43,59,150,190,2,1,1
18,83,130,260,0,0,11
30,49,173,185,2,0,10
30,83,172,180,1,3,9
18,83,130,260,0,3,26
18,83,130,260,0,0,11
35,45,168,178,0,0,22
36,45,170,184,2,1,10
18,83,130,260,0,0,11
18,83,130,260,0,0,11
58,70,170,176,1,0,14
54,65,170,190,1,0,21
39,42,171,184,2,3,27
18,83,130,260,0,0,11
46,52,130,260,1,1,28
25,30,174,183,2,3,5
43,50,173,188,2,0,1
38,48,165,185,2,0,10
49,58,130,260,0,0,28
40,50,175,200,2,3,27
49,67,168,182,0,0,3
37,49,172,190,2,0,10
63,73,168,180,1,0,14
33,48,168,180,2,0,10
18,83,130,260,0,0,11
28,40,173,185,2,3,27
50,58,172,182,1,0,21
63,70,170,190,0,0,3
18,83,130,260,0,0,11
48,56,168,190,2,0,1
45,57,130,260,0,0,28
18,83,130,260,0,0,11
45,58,165,190,0,1,0
59,74,130,260,1,0,28
30,42,170,185,2,3,27
27,48,170,190,1,3,8
24,58,130,260,0,0,2
50,60,165,190,0,0,0
40,48,175,185,1,1,18
28,35,175,185,1,3,20
42,52,170,190,0,0,0
51,83,170,190,0,0,3
55,67,168,178,1,0,21
18,83,130,260,0,0,11
18,83,130,260,0,0,11
25,30,172,178,2,3,5
45,55,170,185,2,0,1
47,62,170,182,0,0,0
74,81,165,260,0,0,17
30,38,175,188,4,3,4
22,30,175,190,1,3,20
33,39,175,195,0,0,22
48,65,168,185,2,0,15
38,52,168,185,0,0,0
36,47,170,182,2,1,10
30,34,175,180,1,3,20
42,55,130,260,0,0,28
31,40,174,182,1,3,8
46,58,170,180,1,0,21
38,54,176,199,2,0,1
25,38,170,180,2,0,10
48,62,170,186,1,0,21
55,68,165,188,0,0,3
48,65,175,200,1,0,21
45,83,168,182,1,0,21
35,45,170,185,1,0,18
25,45,175,185,2,3,27
36,48,170,260,2,0,12
36,50,175,190,2,0,10
39,50,170,180,1,0,18
44,55,175,185,2,0,1
28,37,170,190,0,3,13
18,83,130,260,0,0,11
35,50,168,178,1,0,18
33,43,160,183,2,0,10
29,34,176,186,4,3,4
34,44,170,180,0,1,25
32,43,170,199,1,0,18
23,40,160,185,0,0,6
28,35,173,180,1,3,20
24,32,176,186,2,1,10
45,58,168,185,1,0,21
33,40,165,180,0,1,25
35,45,170,180,2,3,27
38,48,170,180,1,0,18
50,60,170,180,0,1,3
38,50,171,179,0,1,25
64,72,160,189,1,0,14
35,45,170,260,1,1,12
38,45,168,178,2,3,27
38,50,170,189,0,0,0
40,50,170,185,1,0,18
68,77,163,178,1,0,14
25,38,175,190,0,3,13
35,45,170,189,0,1,25
32,42,173,184,0,0,22
43,56,130,260,0,0,28
28,35,168,180,2,3,5
22,26,172,185,0,3,13
27,42,175,180,2,3,27
23,26,173,185,0,3,13
40,48,170,190,2,1,10
52,60,175,190,2,0,15
39,48,173,182,2,0,10
45,61,172,188,2,0,1
35,45,170,180,2,0,10
43,52,175,260,2,0,12
47,53,168,178,2,0,1
20,24,175,185,0,3,13
23,42,155,190,0,0,6
30,50,175,180,2,0,10
36,45,170,180,0,1,25
30,35,168,190,1,3,8
18,83,130,260,0,0,11
27,37,170,180,0,0,22
37,45,168,180,0,0,22
31,35,174,182,2,3,27
32,43,170,260,2,0,12
35,43,170,195,2,0,10
60,66,172,185,1,0,14
33,45,176,188,0,0,22
42,48,173,190,2,0,1
