word,counts
希望,456
喜欢,396
生活,346
爱,242
善良,174
真诚,170
爱情,162
幸福,161
工作,145
朋友,129
简单,116
人生,104
邮票,102
性格,97
寻找,93
快乐,92
缘分,87
旅游,81
来信,81
期待,78
生命,78
婚姻,75
结婚,75
勿扰,73
世界,72
感情,72
等待,71
平凡,69
家,68
未来,67
温柔,67
一生,64
珍惜,60
佳缘,59
时间,58
懂,57
运动,56
心,55
另一半,52
年龄,52
真实,52
家庭,51
真心,51
音乐,50
孩子,49
美好,48
相互,47
资料,47
性格开朗,46
温暖,46
责任心,46
退休,46
来到,44
美丽,44
非诚,44
北京,43
开朗,43
懂得,43
浪漫,43
健康,42
合适,42
也许,41
经历,41
携手,40
日子,40
离异,39
慢慢,37
热情,37
身边,37
身高,37
包容,36
平台,36
感谢,36
努力,35
发信,35
爱好,35
乐观,34
信息,34
父母,34
相爱,34
真的,34
稳定,34
孤单,33
相伴,32
陪,32
上海,31
有缘,31
身体健康,31
阳光,31
平淡,30
温馨,30
照片,30
选择,30
内心,29
总有,29
永远,29
相识,29
茫茫人海,29
追求,29
伴侣,28
大方,28
拥有,28
有缘人,28
渴望,28
凡事,27
只想,27
心态,27
感觉,27
条件,27
热爱生活,27
随和,27
寂寞,26
成熟,26
爱是,26
独立,26
理解,26
相遇,26
美食,26
陪伴,26
专一,25
可爱,25
多年,25
强求,25
欣赏,25
看书,25
走过,25
不错,24
优秀,24
余生,24
信件,24
善解人意,24
港湾,24
爱心,24
自信,24
顺其自然,24
体贴,23
偶然,23
写信,23
女儿,23
缘份,23
路,23
骗子,23
一辈子,22
世纪,22
学习,22
宽容,22
未婚,22
缘,22
东西,21
共度,21
分享,21
发现,21
大学,21
完美,21
异地,21
心灵,21
相濡以沫,21
相知,21
lt,20
一路,20
习惯,20
充满,20
到来,20
只能,20
外表,20
女子,20
孤独,20
安静,20
开心,20
爱人,20
电影,20
离开,20
稳重,20
经营,20
身材,20
随缘,20
信,19
关注,19
外貌,19
学历,19
年轻,19
旅行,19
有时候,19
梦想,19
气质,19
沟通,19
网络,19
适合,19
阅读,19
默契,19
gt,18
事业,18
会员,18
依然,18
先,18
关心,18
城市,18
投资,18
晒太阳,18
浪费,18
热爱,18
责任,18
the,17
♥,17
传统,17
孝顺,17
岁月,17
幽默,17
放弃,17
期望,17
正直,17
毕业,17
温和,17
牵手,17
相处,17
相守,17
看着,17
责任感,17
三观,16
人会,16
假期,16
儿子,16
变老,16
尊重,16
年纪,16
征婚,16
心中,16
执子之手,16
扶持,16
明天,16
求,16
漂亮,16
绕道,16
贤惠,16
过日子,16
那种,16
BR,15
不良嗜好,15
个性,15
享受,15
付出,15
加,15
向往,15
回复,15
地方,15
家里,15
心爱,15
憧憬,15
我要,15
执着,15
找寻,15
活泼,15
现实,15
用心,15
相,15
看看书,15
经济,15
聪明,15
脾气好,15
诚实,15
读书,15
距离,15
面对,15
不弃,14
之间,14
介绍,14
单身,14
声明,14
女,14
安心,14
干净,14
平时,14
成长,14
文静,14
智慧,14
独白,14
疼,14
白首,14
看信,14
精彩,14
自由,14
诚意,14
错过,14
长大,14
难,14
I,13
上进心,13
书,13
人品,13
今生,13
信任,13
北方,13
厨房,13
和谐,13
唱歌,13
坦诚,13
天空,13
学会,13
寻,13
微笑,13
思念,13
总,13
拒绝,13
收入,13
收获,13
时尚,13
是因为,13
晒,13
游泳,13
直爽,13
端庄,13
素质,13
自然,13
艺术,13
is,12
to,12
you,12
一句,12
之中,12
交友,12
住房,12
坚强,12
外面,12
始终,12
家人,12
寻觅,12
小孩,12
广州,12
恋爱,12
情况,12
感恩,12
教师,12
旅途,12
梦,12
水,12
注,12
照顾,12
能力,12
自动,12
说话,12
钱,12
问,12
不离,11
与子偕老,11
优点,11
你好,11
外地,11
失落,11
失败,11
富有,11
少,11
巧克力,11
感受,11
教育,11
文化,11
最美,11
永恒,11
活泼开朗,11
深圳,11
游戏,11
漫长,11
牵,11
目标,11
硕士,11
聊天,11
身心健康,11
进,11
遇上,11
邮件,11
风雨,11
