word,counts
希望,476
喜欢,371
生活,366
工作,267
爱,259
爱情,215
真诚,195
人生,183
幸福,170
期待,125
简单,123
善良,120
性格,119
婚姻,113
朋友,113
寻找,107
一生,102
缘分,99
家庭,98
佳缘,96
结婚,96
世界,93
时间,91
另一半,90
生命,88
感情,85
快乐,78
旅游,78
未来,75
经历,75
平凡,74
珍惜,73
真心,73
心,71
爱好,70
家,69
资料,69
相互,67
也许,63
运动,62
上海,61
感觉,61
努力,60
离异,60
北京,57
有缘,55
真实,55
勿扰,54
音乐,52
事业,51
感谢,51
父母,51
温柔,50
岁月,49
携手,49
邮票,48
合适,47
温馨,47
相识,47
等待,47
毕业,46
永远,46
年龄,45
日子,45
未婚,45
来到,45
浪漫,45
温暖,45
美好,45
来信,44
伴侣,43
孩子,43
寂寞,43
相遇,43
美丽,43
公司,42
平台,42
退休,42
健康,41
平淡,41
稳定,41
网络,41
身高,41
阳光,41
茫茫人海,40
懂得,39
成熟,39
经营,39
追求,39
发信,38
多年,38
有缘人,38
相伴,38
相爱,38
真的,38
稳重,38
走过,38
单身,36
热情,36
爱是,36
乐观,35
缘,35
享受,34
传统,34
只想,34
慢慢,34
照片,34
不良嗜好,33
抽烟,33
渴望,33
身体健康,33
选择,33
一辈子,32
喝酒,32
孤独,32
陪,32
世纪,31
偶然,31
孤单,30
平时,30
幽默,30
开朗,30
拥有,30
理想,30
责任心,30
骗子,30
完美,29
条件,29
注册,29
不弃,28
付出,28
收入,28
梦想,28
爱心,28
介绍,27
到来,27
懂,27
深圳,27
独立,27
经济,27
读书,27
不错,26
信息,26
包容,26
地方,26
大学,26
学习,26
改变,26
温和,26
爱人,26
相知,26
过日子,26
一路,25
交友,25
共度,25
非诚,25
默契,25
lt,24
余生,24
感受,24
成功,24
机会,24
理解,24
错过,24
随和,24
I,23
you,23
专业,23
信,23
宽容,23
寻觅,23
工程师,23
征婚,23
不离,22
东西,22
关心,22
创业,22
吸烟,22
女儿,22
总有,22
成长,22
找寻,22
旅行,22
照顾,22
短暂,22
离开,22
自信,22
那种,22
随缘,22
发展,21
发现,21
带来,21
心灵,21
情感,21
梦,21
港湾,21
游泳,21
热爱生活,21
用心,21
风景,21
gt,20
to,20
关注,20
写,20
心中,20
心态,20
思想,20
情况,20
摄影,20
明天,20
牵手,20
独白,20
相处,20
相濡以沫,20
精彩,20
能力,20
距离,20
身体,20
身边,20
10,19
the,19
­,19
事业单位,19
交流,19
几年,19
前,19
向往,19
年轻,19
执子之手,19
执着,19
放弃,19
时光,19
期望,19
硕士,19
精神,19
缘份,19
美食,19
脾气,19
自由,19
责任,19
适合,19
BR,18
优秀,18
值得,18
健身,18
和谐,18
文化,18
浏览,18
现实,18
知己,18
离婚,18
话,18
错,18
问,18
面对,18
专一,17
依然,17
内心,17
原因,17
回到,17
失败,17
始终,17
小孩,17
干净,17
成家,17
文字,17
最美,17
沟通,17
热爱,17
电影,17
人会,16
人品,16
信件,16
变老,16
女性,16
孝顺,16
对象,16
恋爱,16
扶持,16
教师,16
本科,16
欣赏,16
相,16
真情,16
自我介绍,16
行业,16
诚实,16
贤惠,16
那份,16
长,16
一句,15
之间,15
习惯,15
享尽,15
亲人,15
今生,15
企业,15
体贴,15
做事,15
做人,15
分享,15
善解人意,15
国企,15
安心,15
安静,15
广州,15
度过,15
心爱,15
性格开朗,15
打牌,15
旅途,15
期盼,15
正直,15
灵魂,15
男孩,15
痛苦,15
看书,15
老家,15
谱,15
进,15
遗憾,15
青春,15
一步,14
与子偕老,14
个性,14
中国,14
伤害,14
体重,14
你好,14
同事,14
告诉,14
坦诚,14
大方,14
大自然,14
奋斗,14
家人,14
尊重,14
少,14
年纪,14
开心,14
心地善良,14
心情,14
情缘,14
房子,14
时刻,14
有过,14
样子,14
此生,14
没什么,14
爬山,14
状态,14
笑,14
算,14
管理,14
管理工作,14
终究,14
自然,14
路,14
长大,14
顺其自然,14
顾家,14
20,13
and,13
is,13
my,13
一同,13
上班,13
会员,13
变得,13
咖啡,13
喜,13
国家,13
城市,13
外企,13
女孩子,13
学历,13
宁静,13
待人,13
忙碌,13
思念,13
总,13
意义,13
感恩,13
成,13
成都,13
承诺,13
方向,13
有时候,13
本来,13
相守,13
社会,13
累,13
结识,13
老婆,13
踏实,13
阅读,13
陪伴,13
一串,12
中有,12
之中,12
人间,12
优点,12
信任,12
兴趣,12
声明,12
失落,12
女,12
家里,12
寻,12
平平淡淡,12
托,12
技术,12
挺,12
注定,12
白头到老,12
皆,12
目标,12
真爱,12
眼缘,12
知,12
绚烂,12
美国,12
羽毛球,12
聪明,12
诚信,12
说话,12
负责,12
账号,12
身材,12
轰轰烈烈,12
长相,12
高级,12
a,11
不知,11
世间,11
两人,11
低调,11
充满,11
先,11
关系,11
内向,11
凡事,11
创造,11
厨房,11
只能,11
唯一,11
外面,11
天空,11
女朋友,11
定居,11
实在,11
居住,11
平静,11
忙,11
打算,11
接触,11
携,11
故事,11
教育,11
求,11
流逝,11
玩,11
生于,11
相互了解,11
缺乏,11
表达,11
责任感,11
跑步,11
难,11
风雨,11
