word,counts
喜欢,15701
希望,15378
生活,9503
爱,8457
工作,6158
善良,5852
余生,4551
性格,4223
另一半,4162
真诚,3768
真心,3547
勿扰,3378
人生,3136
感情,3089
简单,3059
旅游,2823
幸福,2804
孩子,2605
爱情,2497
结婚,2477
责任心,2393
会员,2356
温柔,2322
年龄,2277
包容,2236
一生,2231
未来,2169
婚姻,2160
性格开朗,2135
过日子,2100
家庭,2092
相互,2059
时间,1990
共度,1973
珍惜,1954
寻找,1940
离异,1926
懂,1923
非诚,1913
运动,1889
爱好,1804
期待,1785
朋友,1773
平台,1769
开朗,1744
伴侣,1661
家,1656
稳定,1605
担当,1575
世界,1562
退休,1558
三观,1535
身高,1490
快乐,1484
父母,1472
努力,1471
心,1470
信息,1461
阳光,1457
平时,1430
稳重,1427
成熟,1417
合适,1407
缘分,1402
携手,1379
经历,1366
女儿,1324
相伴,1320
喝酒,1310
干净,1299
抽烟,1274
有缘,1230
独立,1223
乐观,1221
美好,1219
陪伴,1207
懂得,1196
陪,1191
理解,1181
人品,1173
温暖,1153
音乐,1136
内心,1133
热爱生活,1122
顾家,1097
收入,1054
专一,1041
不良嗜好,1036
爱心,997
只想,989
有缘人,978
相处,973
孝顺,972
真实,963
身体健康,957
一辈子,948
心地善良,944
做饭,941
健康,936
感觉,924
单身,919
条件,910
正,901
看书,899
善解人意,889
生命,887
踏实,886
日子,878
灵魂,877
唱歌,867
平凡,867
幽默,854
大方,837
事业,835
资料,835
不弃,834
开心,829
责任,828
安静,824
北京,807
电影,789
相爱,789
身边,789
体贴,786
不离,784
儿子,783
照顾,780
上班,776
美食,775
孤独,771
脾气,767
后半生,764
温和,759
浪漫,749
相遇,748
活泼,745
旅行,737
上海,732
慢慢,729
内向,717
经营,714
上进心,712
尊重,712
健身,702
等待,699
回复,698
随和,688
追求,686
离婚,681
选择,677
家里,668
眼缘,665
关心,662
珍爱,661
有房,649
永远,645
度过,643
真的,641
经济,638
毕业,637
能力,635
失败,625
为伴,619
负担,619
优秀,618
平淡,618
拥有,616
疼,616
相互理解,616
学习,611
有趣,610
诚实,606
小孩,604
白首,595
享受,593
随缘,593
牵手,590
恋爱,589
付出,587
平平淡淡,583
温馨,582
适合,579
爱人,577
热爱,576
岁月,574
人心,564
相识,562
更好,561
欣赏,556
渴望,555
家人,554
体重,549
贤惠,548
也许,544
做事,544
沟通,544
心态,541
热情,541
说话,537
笑,536
茫茫人海,528
圈子,527
身份证,519
正直,518
走过,513
对象,511
年轻,511
消息,511
骗子,510
地方,508
照片,507
公司,505
男生,500
责任感,499
女性,496
农村,495
来到,494
那种,493
简简单单,492
学历,491
感恩,490
成长,490
未婚,490
相守,489
进,489
活泼开朗,488
交友,485
宅,482
多年,480
求,478
家务,476
定居,471
有车,471
少,469
相知,469
绕道,466
安全感,465
读书,465
路,465
之间,464
年纪,463
男孩,459
互相理解,457
寻,457
你好,456
美丽,453
话,453
东西,452
自由,447
直爽,439
完美,438
打牌,436
相濡以沫,436
丧偶,435
理想,433
缘,427
可爱,424
国企,423
时光,420
脾气好,420
信任,418
依然,417
爬山,417
玩,417
孝顺父母,416
绕行,416
女,413
心灵,410
游泳,410
面对,410
吸烟,408
来信,407
散步,405
积极向上,403
大学,402
聊天,402
思想,401
负责,401
女孩子,398
通情达理,398
创业,397
房子,397
感谢,396
执子之手,396
下半生,395
往后,393
钱,393
传统,391
关注,391
充满,388
孤单,388
老家,388
向往,382
宠,382
自信,382
行业,381
扶持,378
赌博,378
不好,377
孝心,374
用心,374
外表,373
成家,372
打扰,372
本科,371
坚强,368
呵护,364
风景,363
机会,360
故事,359
原因,358
累,358
实在,357
漂亮,357
志同道合,356
能量,355
温柔体贴,354
长相,354
心中,353
跑步,353
寻觅,352
自律,352
不到,347
值得,346
做人,345
有时候,345
在家,344
放弃,344
发现,343
心想,342
诚心,341
身体,339
与子偕老,338
听歌,338
外向,338
重庆,337
终老,335
教师,334
踏踏实实,334
奋斗,333
文化,333
伤害,331
厨房,331
找对象,327
改变,327
关系,322
伴,319
城市,315
大大咧咧,314
宽容,314
谱,312
忙,311
习惯,310
路上,310
只求,309
身材,309
整洁,308
感受,307
挺,307
暖,307
注重,307
网,307
期望,306
羽毛球,306
老婆,306
只能,305
职业,305
错过,305
主动,304
梦想,304
邮票,304
先,303
我要,302
白头,302
发展,301
择偶,300
长,300
素质,299
一枚,298
前,298
爱是,298
风趣,298
事业心,297
介绍,297
工资,297
抱歉,297
谈,297
现实,296
分享,295
知,295
一路,294
寂寞,294
两人,293
不错,292
异地,292
欺骗,292
缘份,292
过好,292
风雨,291
介意,288
公务员,288
待人,288
没什么,288
长大,287
姑娘,286
孝敬父母,286
情况,285
兴趣爱好,284
有过,284
离开,284
老伴,284
变老,282
疼爱,282
唯一,281
买,280
爱笑,279
到来,278
摄影,278
居住,277
10,276
事业单位,276
单位,276
颜值,274
交流,273
女朋友,273
忠诚,273
接触,272
聊,272
住房,271
港湾,271
方式,270
异性,269
明白,269
浪费,269
皆,269
相依,269
不爱,268
憧憬,268
兴趣,267
想法,267
真心实意,267
修养,266
跳舞,266
厅堂,263
态度,263
留言,263
精神,263
白头偕老,262
老实,262
坦诚,261
就行,261
足够,261
分离,260
同行,260
