
"key: uid, value: 26552442","key: education, value: 本科","key: height, value: 179","key: car, value: --","key: income, value: None","key: house, value: 已购住房","key: weight, value: 75公斤","key: constellation, value: 双鱼座","key: nationality, value: --","key: zodiac, value: 鼠","key: blood, value: --","key: criterias_age, value: 30-42岁之间","key: criterias_height, value: 155厘米或以上","key: criterias_nationality, value: 不限","key: criterias_eduction, value: 不限","key: criterias_marriage, value: 不限","key: criterias_location, value:  不限","key: nickname, value: 无名小卒","key: sex, value: 男","key: marriage, value: 离异","key: work_location, value: 惠州","key: image, value: https://at2.jyimg.com/9d/d9/41c6fafc945fa9c545158e788392/41c6fafc9_5_avatar_p.jpg","key: randTag, value:  有房  179cm ","key: randListTag, value:  有房  属鼠  179cm  本科 ","key: shortnote, value: 婚姻是勤劳者的福利，是懒惰者的枷锁，是堕落者的镣铐，是愉乐者的救命草，是浪子回归的家园，是芸芸众生者的心灵归属。我想与你一同找寻这份归属。......"
"key: uid, value: 1077822","key: education, value: 本科","key: height, value: 175","key: car, value: 已购车（中档型）","key: income, value: None","key: house, value: 已购房","key: weight, value: 74公斤","key: constellation, value: 摩羯座","key: nationality, value: 汉族","key: zodiac, value: 虎","key: blood, value: A型","key: criterias_age, value: 不限","key: criterias_height, value: 不限","key: criterias_nationality, value: 不限","key: criterias_eduction, value: 不限","key: criterias_marriage, value: 不限","key: criterias_location, value:  不限","key: nickname, value: 山水几程","key: sex, value: 男","key: marriage, value: 丧偶","key: work_location, value: 厦门","key: image, value: https://at1.jyimg.com/41/c3/0f719fe9ab95293c9c938d8fdeb2/0f719fe9a_1_avatar_p.jpg","key: randTag, value:  本科  魔羯座 ","key: randListTag, value:  175cm  汉族  A型血  魔羯座 ","key: shortnote, value: 第一次上佳缘，以结婚为目的，q 看数 字_㋇㏠㍘_㋆㏡㍟_㋄㏤ 家 我互相了解下吧..."
"key: uid, value: 304843462","key: education, value: 硕士","key: height, value: 185","key: car, value: --","key: income, value: None","key: house, value: --","key: weight, value: --","key: constellation, value: 摩羯座","key: nationality, value: 汉族","key: zodiac, value: 兔","key: blood, value: B型","key: criterias_age, value: 23-39岁之间","key: criterias_height, value: 130-260厘米","key: criterias_nationality, value: 不限","key: criterias_eduction, value: 不限","key: criterias_marriage, value: 不限","key: criterias_location, value:  上海","key: nickname, value: Ryan","key: sex, value: 男","key: marriage, value: 未婚","key: work_location, value: 黄浦","key: image, value: https://at3.jyimg.com/6f/4b/ca3fa19e7dfa52ed8070feaae435/ca3fa19e7_1_avatar_p.jpg","key: randTag, value:  属兔  B型血 ","key: randListTag, value:  汉族  未婚  硕士  魔羯座 ","key: shortnote, value: 爱一个人意味着什么呢？这意味着为他的幸福而高兴，为使他能够幸福而去做需要做的一切，并从这当中得到快乐。一般的宿命，就是我们总会遇见一些人遭遇一些事。然后，看着命中注定的事发生，却无…"
"key: uid, value: 296067621","key: education, value: 本科","key: height, value: 174","key: car, value: 已经购车","key: income, value: None","key: house, value: 已购房","key: weight, value: 78公斤","key: constellation, value: 摩羯座","key: nationality, value: 汉族","key: zodiac, value: 兔","key: blood, value: 保密","key: criterias_age, value: 30-40岁之间 <font color=""#848284"">*</font>","key: criterias_height, value: 158-171厘米 <font color=""#848284"">*</font>","key: criterias_nationality, value: 不限","key: criterias_eduction, value: 大专 <font color=""#848284"">*</font>","key: criterias_marriage, value: 不限","key: criterias_location, value:  广东汕头 <font color=""#848284"">*</font>","key: nickname, value: 许诺","key: sex, value: 男","key: marriage, value: 离异","key: work_location, value: 汕头","key: image, value: https://at4.jyimg.com/35/a2/859f40f0d603482c7752c179e111/859f40f0d_2_avatar_p.jpg","key: randTag, value:  有车  78公斤 ","key: randListTag, value:  有车  属兔  本科  魔羯座 ","key: shortnote, value: 从颜值开始。哈。哈。我是一名医生，住市区金平区，老家鮀浦，老了我大几率会选择回归牛田洋的田园生活，有意者同行哈。离异是因为我在国外多年，聚少离多，感情不知不觉淡化了，和平分手，孩子…"
"key: uid, value: 9298","key: education, value: 硕士","key: height, value: 170","key: car, value: 已经购车","key: income, value: None","key: house, value: 已购住房","key: weight, value: 72公斤","key: constellation, value: 射手座","key: nationality, value: 汉族","key: zodiac, value: 马","key: blood, value: A型","key: criterias_age, value: 18-32岁之间","key: criterias_height, value: 158-175厘米","key: criterias_nationality, value: 不限","key: criterias_eduction, value: 不限","key: criterias_marriage, value: 不限","key: criterias_location, value:  不限","key: nickname, value: linked2008","key: sex, value: 男","key: marriage, value: 未婚","key: work_location, value: 朝阳","key: image, value: https://at1.jyimg.com/0f/59/1436a95643b9b2290678e35a58d8/1436a9564_2_avatar_p.jpg","key: randTag, value:  属马  170cm ","key: randListTag, value:  有车  属马  硕士  射手座 ","key: shortnote, value: It  would  be  my  pleasure  if  you  can  spend  some  time  going  through  my  self-introduction:  I  am working  in  a  foreign  company  in  Beijing ......"
"key: uid, value: 305426311","key: education, value: 本科","key: height, value: 178","key: car, value: --","key: income, value: None","key: house, value: --","key: weight, value: --","key: constellation, value: 巨蟹座","key: nationality, value: --","key: zodiac, value: 牛","key: blood, value: --","key: criterias_age, value: 42-50岁之间","key: criterias_height, value: 155-179厘米","key: criterias_nationality, value: 不限","key: criterias_eduction, value: 不限","key: criterias_marriage, value: 不限","key: criterias_location, value:  不限","key: nickname, value: 浮生如梦","key: sex, value: 男","key: marriage, value: 离异","key: work_location, value: 闵行","key: image, value: https://at4.jyimg.com/f6/75/5d7d6a59a2e2a6fc5847624b2f7f/5d7d6a59a_1_avatar_p.jpg","key: randTag, value:  本科  巨蟹座 ","key: randListTag, value:  属牛  178cm  本科  巨蟹座 ","key: shortnote, value: 我是一个幽默,宅的人 ，爱好广泛的我，喜欢旅行。"
"key: uid, value: 10063","key: education, value: 硕士","key: height, value: 169","key: car, value: 暂未购车","key: income, value: None","key: house, value: 已购房","key: weight, value: 64公斤","key: constellation, value: 狮子座","key: nationality, value: 汉族","key: zodiac, value: 蛇","key: blood, value: B型","key: criterias_age, value: 35-43岁之间","key: criterias_height, value: 150-165厘米","key: criterias_nationality, value: 不限","key: criterias_eduction, value: 大专","key: criterias_marriage, value: 不限","key: criterias_location, value:  上海","key: nickname, value: 古风","key: sex, value: 男","key: marriage, value: 离异","key: work_location, value: 浦东新区","key: image, value: https://at1.jyimg.com/c9/ba/f2f917078bd2db12f23c3b413d9c/f2f917078_2_avatar_p.jpg","key: randTag, value:  169cm  B型血 ","key: randListTag, value:  169cm  64公斤  汉族  硕士 ","key: shortnote, value: 希望能够认识一个人一起携手到老。如果你也是这么想，那么我们可以试着了解彼此。..."
"key: uid, value: 8387","key: education, value: 硕士","key: height, value: 175","key: car, value: 暂未购车","key: income, value: None","key: house, value: 已购住房","key: weight, value: 70公斤","key: constellation, value: 白羊座","key: nationality, value: 汉族","key: zodiac, value: 羊","key: blood, value: A型","key: criterias_age, value: 不限","key: criterias_height, value: 不限","key: criterias_nationality, value: 不限","key: criterias_eduction, value: 不限","key: criterias_marriage, value: 不限","key: criterias_location, value:  不限","key: nickname, value: notdreamer","key: sex, value: 男","key: marriage, value: 未婚","key: work_location, value: 浦东新区","key: image, value: https://at4.jyimg.com/be/c8/7ecaca534f98c4ca134e527b12d4/7ecaca534_avatar_p.jpg","key: randTag, value:  属羊  硕士 ","key: randListTag, value:  有房  属羊  汉族  硕士 ","key: shortnote, value: Hope to make friend with you, to make each of us more knowledgable, enjoyable and successful."
"key: uid, value: 29174","key: education, value: 本科","key: height, value: 175","key: car, value: 暂未购车","key: income, value: None","key: house, value: 独自租房","key: weight, value: 75公斤","key: constellation, value: 白羊座","key: nationality, value: 汉族","key: zodiac, value: 猪","key: blood, value: O型","key: criterias_age, value: 45-53岁之间 <font color=""#848284"">*</font>","key: criterias_height, value: 162-175厘米 <font color=""#848284"">*</font>","key: criterias_nationality, value: 不限","key: criterias_eduction, value: 本科或以上 <font color=""#848284"">*</font>","key: criterias_marriage, value: 不限","key: criterias_location, value:  广东广州 <font color=""#848284"">*</font>","key: nickname, value: 涌飞","key: sex, value: 男","key: marriage, value: 离异","key: work_location, value: 广州","key: image, value: https://at4.jyimg.com/fc/2b/a7e253c31b4cff99440a716524a3/a7e253c31_2_avatar_p.jpg","key: randTag, value:  属猪  汉族 ","key: randListTag, value:  属猪  175cm  75公斤  汉族 ","key: shortnote, value: 缘分快到了来逛逛有一起环游祖国的大好河山吗？..."
"key: uid, value: 20799","key: education, value: 博士","key: height, value: 180","key: car, value: 暂未购车","key: income, value: None","key: house, value: 已购住房","key: weight, value: 65公斤","key: constellation, value: 巨蟹座","key: nationality, value: 汉族","key: zodiac, value: 鼠","key: blood, value: --","key: criterias_age, value: 29-49岁之间","key: criterias_height, value: 158厘米或以上","key: criterias_nationality, value: 不限","key: criterias_eduction, value: 不限","key: criterias_marriage, value: 不限","key: criterias_location, value:  广东深圳,上海","key: nickname, value: lyjun2401","key: sex, value: 男","key: marriage, value: 未婚","key: work_location, value: 浦东新区","key: image, value: https://at3.jyimg.com/66/13/c20ea00d1b74e934d5935f8a3d14/c20ea00d1_1_avatar_p.jpg","key: randTag, value:  有房  巨蟹座 ","key: randListTag, value:  有房  180cm  汉族  未婚 ","key: shortnote, value: 我非土生土长的上海人，只是户口落在上海而已。 希望平淡生活,希望普通的人生。 身高170，非180，网络错误，个人无法更改。..."
